ID,PERMI,  PERMIT_TYPE
1594472,100063289,PERMIT - RENOVATION/ALTERATION
1594475,100063291,PERMIT - RENOVATION/ALTERATION
1594573,100063316,PERMIT - RENOVATION/ALTERATION
1594692,100063357,PERMIT - WRECKING/DEMOLITION
1594701,100063362,PERMIT - ELEVATOR EQUIPMENT
1594802,100063397,PERMIT - RENOVATION/ALTERATION
1595121,100063549,PERMIT - RENOVATION/ALTERATION
1595129,100063553,PERMIT - RENOVATION/ALTERATION
1595301,100063614,PERMIT - RENOVATION/ALTERATION
1595401,100063651,PERMIT - PORCH CONSTRUCTION
1595408,1000i63656,PERMIT - RENOVATION/ALTERATION
1595527,100063716,PERMIT - ELECTRIC WIRING
1595576,100063731,PERMIT - RENOVATION/ALTERATION
1595691,100063768,PERMIT - RENOVATION/ALTERATION
1596301,100064079,PERMIT - NEW CONSTRUCTION
1595776,100063811,PERMIT - NEW CONSTRUCTION
1595778,100063812,PERMIT - NEW CONSTRUCTION
1595782,100063813,PERMIT - NEW CONSTRUCTION
1595786,100063815,PERMIT - SCAFFOLDING
1595982,100063946,PERMIT - RENOVATION/ALTERATION
1596020,100063965,PERMIT - WRECKING/DEMOLITION
1596126,100064011,PERMIT - NEW CONSTRUCTION
1596477,100064157,PERMIT - RENOVATION/ALTERATION
1596480,100064158,PERMIT - RENOVATION/ALTERATION
1596534,100064182,PERMIT - WRECKING/DEMOLITION
1596866,100064354,PERMIT - RENOVATION/ALTERATION
1597016,100064432,PERMIT - NEW CONSTRUCTION
1597120,100064471,PERMIT - RENOVATION/ALTERATION
1597135,100064478,PERMIT - RENOVATION/ALTERATION
1597176,100064499,PERMIT - RENOVATION/ALTERATION
1597358,100064573,PERMIT - NEW CONSTRUCTION
1597361,100064574,PERMIT - ELEVATOR EQUIPMENT
1597484,100064625,PERMIT - ELEVATOR EQUIPMENT
1597487,100064627,PERMIT - ELEVATOR EQUIPMENT
1597508,100064637,PERMIT - ELEVATOR EQUIPMENT
1597520,100064640,PERMIT - NEW CONSTRUCTION
1597629,100064682,PERMIT - PORCH CONSTRUCTION
1597762,100064740,PERMIT - RENOVATION/ALTERATION
1597805,100064764,PERMIT - RENOVATION/ALTERATION
1597808,100064766,PERMIT - RENOVATION/ALTERATION
1597827,100064775,PERMIT - NEW CONSTRUCTION
1597828,100064776,PERMIT - NEW CONSTRUCTION
1597847,100064780,PERMIT - RENOVATION/ALTERATION
1597879,100064793,PERMIT - WRECKING/DEMOLITION
1597884,100064796,PERMIT - PORCH CONSTRUCTION
1598324,100064986,PERMIT - RENOVATION/ALTERATION
1598418,100065031,PERMIT - NEW CONSTRUCTION
